,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度
55,臺北市中正區汀州路三段61~90號,15.74,12.0,4,3,141.69,0,0,0,1,30600000,271200,RPWOMLMLJIOFFAA97CA,2,1,1,108,834461.5384615384,48.43076923076923,435.96923076923076,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.018151,121.528203
56,臺北市中正區水源路61~90號,0.0,15.0,4,2,153.77,3,1,2,1,13431000,92663,RPROMLLMKIOFFAA57CA,0,1,1,108,285116.92307692306,0.0,473.13846153846157,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
57,臺北市中正區衡陽路61~90號,5.32,15.0,4,3,68.23,1,2,1,1,21600000,316576,RPQNMLRLJIOFFBA87CA,1,1,0,108,974080.0,16.369230769230768,209.93846153846155,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0424118,121.5119556
58,臺北市中正區延平南路216巷1~30號,21.71,7.0,4,47,141.41,3,2,1,0,23700000,167598,RPVOMLMKKIOFFAA87CA,1,1,0,108,515686.1538461538,66.8,435.1076923076923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0344116,121.5072257
59,臺北市中正區汀州路二段121~150號,10.96,10.0,4,14,48.92,1,1,1,0,10600000,216680,RPPOMLNJJHPFFAA17CA,1,1,1,108,666707.6923076923,33.723076923076924,150.52307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0252178,121.5192523
60,臺北市中正區中華路二段81巷31~60號,12.03,6.0,4,5,73.83,0,0,0,0,11300000,153054,RPTNMLSLJIOFFAA18CA,1,1,1,108,470935.3846153846,37.01538461538461,227.16923076923075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0335956,121.5061755
61,臺北市中正區重慶南路三段121~150號,3.37,12.0,4,13,34.14,1,1,1,1,6300000,184534,RPPNMLTLJIOFFAA87CA,2,1,0,108,567796.923076923,10.36923076923077,105.04615384615384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.024019,121.517056
62,臺北市中正區三元街172巷1弄1~30號,38.75,4.0,4,35,81.67,3,2,1,0,20000000,244888,RPOOMLNJKIOFFAA17CA,2,1,0,108,753501.5384615384,119.23076923076923,251.2923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0274741,121.5113192
63,臺北市中正區仁愛路二段9巷1~30號,17.78,5.0,4,30,72.07,2,1,1,0,16580000,230054,RPXPMLTLJIOFFBA98CA,2,2,0,108,707858.4615384615,54.70769230769231,221.75384615384613,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.038574,121.5264243
64,臺北市中正區杭州南路一段71巷31~60號,53.75,4.0,4,50,126.82,5,2,2,0,25660000,202334,RPQOMLOJKIOFFBA57CA,1,1,0,108,622566.1538461539,165.3846153846154,390.2153846153846,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0396655,121.5263099
65,臺北市中正區羅斯福路四段151~180號,12.36,12.0,4,38,107.18,3,2,2,1,20200000,188468,RPPPMLTLJIOFFAA18DA,2,1,0,108,579901.5384615385,38.03076923076923,329.7846153846154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.01371,121.534983
66,臺北市中正區杭州南路一段131巷1~30號,74.4,11.0,4,13,337.02,6,2,3,1,94500000,324519,RPQRMLMJKIOFFBA77DA,1,1,2,108,998520.0,228.92307692307693,1036.9846153846154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0361203,121.5264279
67,臺北市中正區三元街211~240號,8.63,12.0,4,29,43.43,1,1,1,1,9080000,209072,RPPNMLKKKIOFFAA07DA,1,1,0,108,643298.4615384615,26.553846153846155,133.63076923076923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0277462,121.5130252
68,臺北市中正區仁愛路二段65巷1~30號,16.72,5.0,4,37,111.19000000000001,2,2,3,0,21500000,193363,RPVNMLOJKIOFFBA97CA,1,1,0,108,594963.0769230769,51.44615384615384,342.12307692307695,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.038671,121.5305444
69,臺北市中正區仁愛路一段23巷1~30號,60.33,9.0,4,7,302.2,4,2,3,1,77500000,256453,RPVOMLNJKIOFFBA97CA,1,1,1,108,789086.1538461539,185.63076923076923,929.8461538461538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0392145,121.5231585
70,臺北市中正區金門街34巷1~30號,28.25,6.0,4,44,110.05,3,2,2,0,18000000,163562,RPSNMLNJKIOFFAA47CA,2,1,0,108,503267.6923076923,86.92307692307692,338.6153846153846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.021427,121.522565
71,臺北市中正區水源路31~60號,15.88,13.0,4,3,158.44,3,2,2,1,28500000,179879,RPOOMLOJKIOFFAA27CA,1,1,1,108,553473.8461538461,48.861538461538466,487.5076923076923,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0179463,121.524432
72,臺北市中正區汀州路三段160巷1~30號,8.33,9.0,4,15,38.31,1,1,1,1,11000000,287131,RPWNMLPJKIOFFAA08CA,1,1,0,108,883480.0,25.63076923076923,117.87692307692308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.013346,121.534352
73,臺北市中正區臨沂街32巷1~30號,10.26,7.0,4,6,45.66,1,1,1,1,11500000,251862,RPPOMLPJKIOFFBA57CA,1,1,0,108,774960.0,31.569230769230767,140.4923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0399002,121.5294845
74,臺北市中正區羅斯福路二段31~60號,3.6,15.0,4,19,39.19,1,1,1,1,10550000,269201,RPOQMLQKKIOFFAA87DA,3,1,0,108,828310.7692307692,11.076923076923077,120.58461538461538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.02786,121.522134
75,臺北市中正區忠孝東路一段151~180號,10.42,13.0,4,2,146.52,3,2,2,1,39840000,344470,RPOOMLNKJHPFFBA27CA,1,1,2,108,1059907.6923076923,32.06153846153846,450.83076923076925,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0442295,121.5267772
76,臺北市中正區忠孝東路一段31~60號,4.54,14.0,4,14,43.39,1,1,1,1,11160000,257202,RPWOMLQJKIOFFBA38CA,2,1,0,108,791390.7692307692,13.96923076923077,133.5076923076923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0445321,121.5255064
77,臺北市中正區忠孝東路一段151~180號,5.01,13.0,4,2,51.67,1,1,1,1,18000000,348365,RPXNMLMJJHPFFBA87CA,1,1,0,105,1071892.3076923077,15.415384615384614,158.98461538461538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0442295,121.5267772
78,臺北市中正區水源路31~60號,21.12,13.0,4,3,201.95999999999998,4,2,2,1,32500000,160923,RPTNMLQJKIOFFAA87CA,1,1,1,108,495147.6923076923,64.98461538461538,621.4153846153845,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0179463,121.524432
