,總樓層數,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝
92,9.0,4,2,1,1,1,1,1,1,1,108,848686.1538461539,40.33846153846154,187.84615384615384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
93,14.0,4,13,3,2,2,1,1,1,1,108,763313.8461538461,98.09230769230768,551.9384615384615,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
94,4.0,4,45,3,2,1,0,1,1,0,108,332449.23076923075,79.23076923076924,242.06153846153842,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
95,18.0,4,12,1,1,1,1,1,1,0,108,707652.3076923076,11.2,139.13846153846154,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
96,5.0,4,41,2,2,2,0,2,1,0,108,64747.69230769231,12.4,293.9076923076923,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
97,6.0,4,34,4,2,2,0,1,1,0,108,628520.0,97.44615384615385,436.8307692307692,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
98,21.0,4,7,3,2,2,1,1,1,1,108,635993.8461538461,146.06153846153842,885.723076923077,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
99,4.0,4,49,3,2,1,0,1,1,0,108,467695.3846153846,126.15384615384615,364.36923076923074,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
100,8.0,4,13,2,2,2,1,1,1,2,108,378646.1538461538,93.07692307692308,460.0615384615384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
101,4.0,4,44,3,2,2,0,1,1,0,108,678043.0769230769,96.15384615384615,272.27692307692297,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,4.0,4,35,1,1,1,0,1,1,0,108,469861.53846153844,56.153846153846146,141.04615384615386,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,5.0,4,18,0,1,2,1,1,1,1,108,659310.7692307692,55.16923076923078,216.8307692307692,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
104,10.0,4,6,2,1,1,1,1,1,1,108,687781.5384615384,84.5230769230769,458.92307692307685,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
105,13.0,4,15,0,0,1,1,1,1,0,108,599067.6923076923,15.26153846153846,128.79999999999998,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,5.0,4,40,3,2,2,0,2,1,0,108,321963.07692307694,44.153846153846146,164.52307692307693,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
107,12.0,4,13,1,1,1,1,1,1,2,108,398941.53846153844,17.630769230769232,233.75384615384613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,11.0,4,46,0,1,1,1,9,1,0,108,617120.0,9.507692307692308,76.39999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,14.0,4,18,1,1,1,1,1,1,0,108,441104.6153846154,1.2307692307692308,105.16923076923077,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
110,12.0,4,2,2,2,1,0,1,1,1,108,496563.0769230769,29.78461538461539,384.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
111,12.0,4,2,3,2,2,0,1,1,1,108,479907.69230769225,48.0,579.9692307692308,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
112,4.0,4,35,3,2,2,0,1,1,0,108,691978.4615384615,139.23076923076923,422.4923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,9.0,4,27,3,1,1,1,1,1,0,108,516153.84615384607,56.06153846153846,236.61538461538458,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
114,19.0,4,10,4,2,2,1,2,1,0,108,523424.6153846154,139.53846153846158,461.23076923076917,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
